 INFO  Accepting connections at http://localhost:3000
 HTTP  4/14/2026 2:36:28 PM ::1 GET /static/css/main.0f59fc8a.css
 HTTP  4/14/2026 2:36:28 PM ::1 GET /static/js/main.f9e6517e.js
 HTTP  4/14/2026 2:36:28 PM ::1 Returned 200 in 4 ms
 HTTP  4/14/2026 2:36:28 PM ::1 Returned 200 in 7 ms
 HTTP  4/14/2026 2:36:28 PM ::1 GET /manifest.json
 HTTP  4/14/2026 2:36:28 PM ::1 Returned 200 in 1 ms
 HTTP  4/14/2026 2:36:28 PM ::1 GET /real_time_metrics.json
 HTTP  4/14/2026 2:36:28 PM ::1 GET /favicon.ico
 HTTP  4/14/2026 2:36:28 PM ::1 Returned 200 in 6 ms
 HTTP  4/14/2026 2:36:28 PM ::1 Returned 200 in 5 ms
 HTTP  4/14/2026 2:36:28 PM ::1 GET /logo192.png
 HTTP  4/14/2026 2:36:28 PM ::1 Returned 200 in 3 ms
 HTTP  4/14/2026 2:41:46 PM ::1 GET /
 HTTP  4/14/2026 2:41:46 PM ::1 Returned 200 in 2 ms
 HTTP  4/14/2026 2:41:46 PM ::1 GET /static/js/main.3dcef7b8.js
 HTTP  4/14/2026 2:41:46 PM ::1 GET /static/css/main.0f59fc8a.css
 HTTP  4/14/2026 2:41:46 PM ::1 Returned 304 in 2 ms
 HTTP  4/14/2026 2:41:46 PM ::1 Returned 200 in 4 ms
 HTTP  4/14/2026 2:41:46 PM ::1 GET /manifest.json
 HTTP  4/14/2026 2:41:46 PM ::1 Returned 304 in 2 ms
 HTTP  4/14/2026 2:41:46 PM ::1 GET /real_time_metrics.json
 HTTP  4/14/2026 2:41:46 PM ::1 Returned 200 in 5 ms
 HTTP  4/14/2026 2:41:46 PM ::1 GET /favicon.ico
 HTTP  4/14/2026 2:41:46 PM ::1 Returned 304 in 5 ms
 HTTP  4/14/2026 2:41:46 PM ::1 GET /trade_history.csv
 HTTP  4/14/2026 2:41:46 PM ::1 Returned 304 in 3 ms
 HTTP  4/14/2026 2:41:46 PM ::1 GET /logo192.png
 HTTP  4/14/2026 2:41:46 PM ::1 Returned 304 in 3 ms
